FromNode,ToNode
276349,125382
46509,254849
116350,69358
102359,109725
91042,45492
215264,152337
155857,141251
225872,274389
145788,184820
222824,180050
107077,185718
90561,241726
65637,128194
257512,259875
212877,132695
267344,221675
186735,214967
270530,167295
156785,116701
26231,48854
162882,161514
56981,231363
141385,267261
199994,89448
16033,73929
64807,210026
214861,241587
164332,79005
152267,158873
263098,1177
105111,78290
12184,201065
180771,111074
100310,107874
238103,117343
280933,220390
213499,274232
17574,2954
132013,280367
14644,192929
231553,181358
112393,167159
42339,214536
182159,274876
103820,1508
130364,34573
15912,12593
136658,90647
254016,3707
270771,215344
116435,265168
122852,67503
203568,235496
35070,99121
68788,274620
260126,197150
223217,143707
88944,131224
231266,53540
141370,116180
139976,132695
244067,231405
276037,271205
265210,119479
39036,32791
150041,129971
137021,5533
146238,32104
42769,104513
264893,208086
242511,226411
222599,186750
220161,150995
82857,160337
117635,279984
90778,96144
209780,1103
84382,5394
19059,268821
205801,228954
13713,159570
230527,50407
171435,186472
215234,170239
130174,255671
35966,103752
108255,89073
56252,153729
82409,250655
207566,11508
69394,61793
50749,66374
38276,258570
125897,38368
14475,89073
12271,13549
275519,62205
178375,167471
277046,122611
137189,199822
107579,55646
78539,62478
12162,100336
119153,106504
274876,112927
1012,5590
117164,110573
23586,203976
89073,255083
201048,34565
136756,250976
237892,231363
197712,138580
196162,241454
211376,149042
33934,89835
192516,243079
101101,137996
42489,219601
33307,62357
32591,204569
84129,118948
89546,255055
95523,51753
207752,215933
135790,153667
25169,32653
5064,194043
140612,141844
256107,67756
160504,213898
109083,31830
102139,132826
239048,151939
75633,72252
33752,14332
39684,146255
259519,241454
213953,34865
145481,160732
18943,56088
252778,161972
53671,195167
3159,27904
139443,78080
55388,61458
210258,223949
255669,111252
265576,77713
71015,187041
222303,184432
215636,239742
70898,91
98685,119264
165172,25085
62362,67816
262405,86240
170602,14332
252583,201903
28007,260929
60210,93989
65764,96464
260626,232605
191587,125340
203322,40196
198343,80831
57587,80845
86387,83703
249106,103201
85892,136189
235549,70684
36929,44739
112378,269275
261141,256346
164130,160831
92743,124620
185883,14322
56286,235426
240186,204104
124605,23287
47697,145347
231993,112975
166976,101545
223026,178485
5030,122938
77999,192719
120862,115105
264830,54106
44156,115006
10083,101184
169006,79236
182422,145296
28140,47352
225651,133797
97817,48026
51841,248115
88176,166585
95673,92040
199058,267317
255535,272816
20468,247675
150477,152267
26300,158168
22464,10293
85131,215523
118198,268432
216864,225260
147527,89073
257682,251007
16356,199092
119266,215975
275231,136776
36276,30904
236172,66381
7431,67756
229943,75094
35631,41117
153299,228355
204898,270050
177014,92641
143579,167094
108808,79236
238650,217883
253394,211820
187456,42229
104355,119479
127751,199846
149859,89108
110343,6782
38141,280493
270323,164470
129811,124138
10088,166032
111217,107748
265177,50519
218052,200733
119681,208086
187338,26916
135444,106178
63114,234704
239548,242409
52973,88966
171203,156127
112886,150985
165523,142105
238070,270537
169006,90138
192767,151939
218874,234704
47149,193429
237374,239515
36675,243180
176472,102673
217006,211960
45258,242233
134110,226411
153121,152197
210877,65463
23223,144134
75497,228115
221555,62324
229914,5939
84405,81240
22741,82675
54507,57907
101189,134167
253971,100412
265738,235121
74948,195570
88349,24171
152396,35736
226744,84270
91081,227979
259880,204925
10542,17781
19737,28879
213524,224488
208341,211340
135348,142326
176790,47258
158169,186355
11370,54412
21585,24705
222773,186750
241239,252739
60865,248139
138805,130546
72580,15742
182046,48620
81435,13239
64411,33934
31885,178254
82807,168683
4267,121417
77725,158304
257018,34697
193309,94732
23430,41976
279100,72736
275157,130577
194252,153623
177160,3163
156964,236747
112742,167367
30933,151898
245828,18857
120092,183824
270196,31871
245472,222168
152914,207419
179254,197242
84224,226411
42507,52250
20642,25699
168724,245938
74276,94178
154980,42804
220173,142421
48016,73100
174110,226746
214427,265428
145892,169971
114208,279193
108335,116867
89073,154656
263652,179044
273194,194489
229140,34496
62810,278239
69225,57552
75382,155913
235700,238099
89073,164922
77951,138654
34063,132943
85576,38799
102633,278394
204870,263015
106793,103201
193371,69358
128068,58022
229428,223399
259731,87417
50753,88713
270610,194930
204473,279298
158508,198090
270862,135746
240969,215430
183959,105607
77783,241522
235050,162622
190951,9941
68803,97773
263018,273200
149144,181403
5385,182115
40450,171745
105147,19405
38940,23272
25791,16955
211552,129279
238785,236551
138654,118500
2963,74506
30100,202116
67876,50110
278080,132284
98387,210034
171111,253173
120386,121267
241454,14111
78080,139443
66510,203826
206865,232660
250671,179420
53243,42865
237096,31005
217852,279393
251373,167367
223422,265279
64172,140675
56732,41555
121308,62450
147687,107598
91,65185
109083,197332
190976,192922
172998,268225
101146,225245
106795,220553
159929,96358
57552,65463
203100,64104
160937,226411
15262,41919
43700,3878
238750,69744
41588,124552
82409,195128
112305,81435
279653,191613
68904,161903
80144,39558
20841,143412
61381,227979
82538,234704
66496,58764
130584,241454
71651,221087
22609,231363
85597,80002
40117,65325
189600,281271
232131,249550
105924,160039
267071,102888
228893,253320
190792,99296
104207,89088
256903,88679
67973,29933
47896,160473
33844,23036
216284,178420
63712,121418
118973,241454
117227,101900
108599,34418
238395,244087
214931,100735
83790,15344
205874,245659
138156,98387
216381,281323
131430,12094
175144,68680
214914,161403
37878,143328
42823,84270
242108,89073
64598,69047
270237,184264
13719,70993
4569,218469
186822,183562
153667,226411
202641,63801
55403,63701
234008,226411
8013,106975
260418,229733
214033,48520
99019,160388
260126,71029
257795,3031
135238,53354
39661,31407
35936,243495
145830,103998
158009,67725
212178,246845
274795,214017
239473,47161
15877,54838
105607,13239
137472,176855
218037,45997
248918,25635
216390,70533
250692,140650
128208,226411
267229,278173
2656,22063
96745,247956
277273,88273
170900,277826
218354,276036
22464,36433
87834,63946
197823,6229
97670,73530
238638,113448
25773,49014
149627,264887
192120,123955
218170,95918
99244,241454
20643,79341
87980,55788
269947,106547
13608,261471
272541,233006
36840,67152
168387,279396
259496,140602
162662,61733
164258,107758
210842,89423
131419,79159
242869,239635
107886,109532
263035,148468
39306,47012
68877,167992
217509,93989
220426,20710
234704,179606
253475,229670
142156,59952
226377,48920
237594,127526
61689,26460
25926,225924
103201,153612
230329,8121
269934,91750
273574,87828
94822,22946
170752,273989
225342,240048
68306,232531
171829,226411
49849,44930
165863,112886
13484,65884
113814,47649
131807,127551
43276,76387
238298,164920
216375,127934
48948,55031
62001,16595
28600,18546
75366,155012
53085,230963
109870,224498
24726,129971
263999,237689
155282,122472
12094,5415
59993,56810
167824,152390
42894,161546
228496,83332
235570,90543
119479,217308
137054,215636
27990,36634
193941,202877
56766,261174
157683,242680
115090,223399
46979,145673
210505,190961
36571,40843
228296,105147
109874,10558
207469,127082
112900,34249
58159,100322
201655,132284
199007,204750
151373,43044
12577,53294
31790,235116
51090,129865
124202,115455
136606,123660
109123,28204
103187,14355
120645,194021
180335,240834
213338,135127
163184,69704
186329,90797
20087,23360
30827,24731
274944,167295
83203,114076
12360,59153
96121,196213
274375,109802
90558,64114
3156,160209
277273,40584
49007,173462
38256,177322
219589,96197
132789,199867
149859,256269
207752,232939
2656,4723
165357,268016
69028,204187
114941,264066
101813,109477
233651,27904
27385,272354
242899,203594
256307,249940
95703,223449
76088,250324
186544,190047
67725,158009
61260,170578
23395,194706
169860,262860
203380,270537
165936,186905
146075,59644
112628,69870
173462,132021
139329,258143
29115,137690
97007,208470
211244,251406
33934,179856
158009,143455
172760,75196
246904,76530
31648,215224
168522,11163
151598,241454
47346,40831
101166,37078
27684,69735
108103,123494
89391,104926
27281,15742
233304,6819
201812,237639
279178,76512
60490,34941
152173,226411
268654,114941
169334,215299
5128,1432
4477,34866
21317,54635
86188,17351
50407,68077
52572,46620
141112,227248
181022,187453
55882,151122
225588,72733
30923,160399
256634,234704
44051,242036
136040,142201
229295,162060
21565,89073
139894,115284
209311,270440
123953,113609
189390,170021
17409,263063
220655,185204
186461,178579
130842,127485
133145,121912
203594,242899
258471,190029
149370,67497
241526,121678
83062,65764
34413,174204
34757,98811
185004,133514
242288,177511
176275,169938
190589,169756
216284,47006
45244,120720
69098,219782
200122,189603
205822,241015
100115,238769
242288,194204
140395,193678
259439,212997
245938,226411
165357,210762
152530,176587
76809,61587
185205,109038
136363,73100
203369,184314
318,157403
213413,144522
78194,231363
17781,137632
111595,177342
122259,148989
162795,213064
119868,34249
269486,171885
109083,126157
73623,166057
52356,214394
3050,50549
244067,93778
114525,239874
102161,168812
280041,274034
91934,134375
162445,226411
124413,253883
165393,147621
180771,250789
217155,10466
68904,188738
215171,33044
137314,226411
181425,93246
64997,192536
36790,52115
175144,56286
106701,139708
85658,170347
38276,203961
136362,139508
11296,196424
32579,241454
20678,159406
11917,50785
12026,145461
92351,181640
194021,120645
73285,72944
94447,186681
246665,198019
19497,266140
250690,99245
145230,142874
272822,261586
71567,76274
175366,159884
255773,185850
200767,153450
167330,89073
227979,66890
70000,161514
189797,174384
171559,217912
57071,59708
3627,265114
237735,242565
120022,246791
92121,60136
165699,20465
253906,124202
3674,237338
251876,216677
172905,199189
23032,245659
259391,252741
221937,219687
114037,231363
47258,233602
49097,45066
182076,241454
43044,102407
35398,113991
229295,24183
154287,240290
25635,115510
210877,84906
37313,236004
224492,257272
186902,44339
273069,184125
96464,14937
112758,110559
233103,235611
182769,139443
68746,100458
259332,279054
276373,269864
279340,54373
251048,185918
181567,68889
43370,234487
69223,268779
70113,226411
41370,47852
279249,268303
274849,169334
60500,57251
148349,159829
136655,15658
217180,238466
245659,122570
78030,2656
221727,175490
60993,65948
217146,166823
