FromNode,ToNode
28830,242799
103692,65358
2440,125463
243615,23911
170907,61682
142487,225501
169808,83427
75969,171343
276890,249090
145788,184820
86680,76727
57318,241883
225498,225872
152301,208660
103456,212707
203978,231363
163027,22987
106178,83473
170064,163527
62167,84452
40627,105736
155100,103039
272508,57412
102378,199400
101251,62478
188123,264506
200574,21315
153926,29419
26231,48854
67891,125735
106012,183004
77370,207689
53014,62478
28360,16852
40049,183491
281103,253885
241286,131419
62160,241454
226047,159904
263098,1177
262847,183004
217180,219045
97443,218466
182018,40710
92374,73432
24762,113888
47284,70335
132013,280367
161034,162511
100902,14467
170954,174613
236646,169186
42339,214536
214066,221522
124863,2260
89616,130126
41759,14467
115814,171343
199846,235496
172210,169637
48116,269716
223628,56121
180655,152736
41042,108026
136919,134516
189791,178966
236563,73100
136070,278486
107183,111699
279649,22283
43719,137853
109040,19570
78227,226411
155022,21501
198115,186309
219534,252636
57949,183004
231266,53540
206862,14344
133468,77368
56993,184119
112250,272762
231913,235496
72424,48480
166513,31883
208664,97743
33521,44757
273753,58541
230315,261697
154559,150381
165537,181701
131945,155998
76752,55066
84667,99848
130221,31325
262494,267417
125876,128068
117635,279984
168972,278486
83062,3331
73513,84634
802,5789
101329,2344
13713,159570
122799,55788
200919,121169
125178,132695
171435,186472
216635,225964
35966,103752
25990,137632
260926,127228
188238,117152
158449,6124
45729,30109
70071,53229
270603,188780
131825,89073
69394,61793
20341,99827
21876,258617
82579,160957
176751,56121
255575,186902
116677,253031
166202,151939
63894,262245
152838,191774
27289,219770
21747,2181
136753,92501
133196,16113
179037,192120
9860,8056
202888,261127
211144,276698
97957,183069
115581,257659
280116,119479
273829,133797
53262,35353
136756,250976
18266,72517
266989,210162
12513,247241
12733,170626
188083,153236
243430,70192
99451,273315
16173,126037
70026,40260
132044,252973
5028,133797
262435,42229
84838,240894
143080,178793
108881,66296
17884,77999
63515,46916
245851,37195
203179,3343
205720,192843
20136,234704
71411,226411
114735,272762
13237,10873
32700,65759
103031,243109
187080,166893
143806,61280
66928,145023
188780,265504
201558,77999
23038,226632
229822,36829
112035,214128
278817,257214
245539,140770
125029,259455
77741,277538
150828,147041
70460,236747
165844,141910
154849,20346
161509,183807
8806,223403
178552,37626
201424,132695
75215,92447
253494,150899
79403,186902
205004,57298
110529,116200
58473,167295
42391,107430
87447,56121
129456,234704
265099,226411
264065,87888
179622,198241
14972,96745
61233,25854
26088,59135
180444,37940
195133,172674
245715,32588
176994,76857
97757,151939
142542,272762
51897,140181
155106,218712
269017,228149
204332,247241
113425,30454
108160,142952
152262,258267
114187,91754
165882,82805
219676,89073
26772,12374
164130,160831
236646,17771
201970,112590
182532,188940
68071,271659
72852,77999
119590,149178
48090,63695
96077,206871
182411,130115
122593,120708
147565,210491
97817,48026
51841,248115
22435,271315
55426,3820
88176,166585
259061,236358
84655,140655
26300,158168
88144,147505
256146,163875
143797,53178
195469,98595
246163,142119
154989,188479
131421,126911
82462,276457
101115,226411
223056,1199
59155,208086
232918,110239
46437,177059
82657,168748
115238,21949
22764,217850
229943,75094
236369,165952
127205,90515
116109,29990
51123,133797
222401,93778
38065,145347
203631,170281
25511,152267
270972,158732
158414,124183
209977,225283
87262,201581
100325,14344
108808,79236
258853,37481
77644,68137
187456,42229
107411,183004
4734,90575
29926,226411
242491,140
263362,12682
112736,150673
38141,280493
77706,111200
76432,179992
198662,234053
218052,200733
197471,137853
153504,17781
197658,213780
153687,157226
40417,207801
135444,106178
171565,155908
129773,133797
103998,40541
279397,18036
169006,90138
268040,26824
183899,102858
267681,32380
281544,275505
168337,62478
105551,173007
67241,62887
253837,89046
137393,93778
197668,153821
39980,68204
39635,202116
178379,18979
188261,258002
213997,244922
157915,55788
55934,237570
149230,236666
224841,103998
122472,155282
55039,161026
98050,181701
52293,55650
66365,264944
160670,66694
226580,143088
181463,167986
235493,114372
207623,69358
217029,27088
118244,145892
9701,29735
75155,206001
172312,217967
160689,64159
221876,72157
91251,211769
62086,93105
32748,51319
85031,221672
84874,235496
221314,206406
256935,7119
108268,84219
142910,270307
48072,18443
25165,109839
145192,276341
22708,13662
26271,211354
106121,138826
32569,280333
189340,50677
86747,160587
256040,196028
210719,245492
125231,79044
247073,244126
54626,97521
184845,226411
189259,86256
1291,56813
150367,228157
94245,205727
185911,220209
131167,118032
152059,279271
223902,166381
220186,151161
93326,205611
73606,69358
16657,103337
103534,121016
249925,2776
26485,115331
52602,27710
150237,159895
262260,8198
193687,196527
2839,249050
171409,159607
137873,87888
53473,117152
198040,155615
196416,235073
262567,273603
165899,181701
205905,151338
193959,81435
111740,110583
224638,89122
137045,93346
273194,194489
13809,227167
59324,17781
248405,70953
144401,155096
276981,211903
251513,44717
44301,183987
95276,234704
166951,187979
80193,201310
64636,42003
200463,89329
85576,38799
95663,257114
128068,58022
169458,192985
103517,164095
272517,27277
71878,109013
191329,93778
83110,167828
229428,223399
40349,32791
131793,176790
50753,88713
136369,131212
136378,226411
229635,161533
100446,129447
202655,259455
57679,137583
2308,84906
207937,216696
208562,176790
183810,96275
280536,146547
30844,226411
164151,219542
27456,214029
209769,82871
248806,223902
25791,16955
30100,202116
185634,49102
61393,131707
168360,180272
278080,132284
113826,89712
94096,123019
171111,253173
217203,223687
253664,191726
26918,104202
205209,2470
217852,279393
262067,151939
177318,9549
263739,23039
151783,63926
35761,96465
228467,29611
187290,41177
1714,40340
33269,126969
121308,62450
15292,93778
216046,198090
180750,128016
235651,21315
158118,183004
28599,271446
160808,49547
8019,172708
218365,248585
57552,65463
135550,96745
218571,72157
117143,212707
191811,105212
54728,80103
7326,264645
41588,124552
38600,39686
190146,75010
24234,213399
145985,114398
39875,153831
275221,247609
80144,39558
218571,229223
184978,267897
61381,227979
135194,164698
82538,234704
249666,114174
17134,121543
263204,62916
140769,44004
47270,59021
93886,93284
38134,272961
242791,96745
72143,241123
17569,10352
168614,75882
23513,139014
256903,88679
123995,100595
4740,248330
197797,157225
40388,198090
262585,61265
112710,131304
187973,252422
243805,131081
25990,183004
62565,181895
147913,169878
75774,90882
105968,119479
73594,48790
73335,7689
180264,204222
264065,463
104713,16939
231697,186902
151091,237337
60523,247956
152094,163761
21532,137190
250466,276740
45620,234704
224221,28443
257578,215333
35347,93778
42823,84270
158172,64426
256397,77999
28941,255621
32827,34573
202641,63801
28377,64737
8237,19197
260652,117789
246708,49541
234008,226411
242972,188313
251218,248935
74300,248050
83251,221087
42908,119486
16866,225054
35194,151939
262249,211401
97837,43397
114500,217870
259871,130348
269755,248755
229958,145471
153968,156896
108964,70457
153771,214574
86270,212997
137388,215147
227738,84941
160191,231265
137583,168305
66407,79555
274456,7859
32800,63252
266246,141834
162511,159435
253074,154483
85328,143892
14972,181701
43243,134832
72753,19590
236016,152010
216979,94163
43776,78548
49942,118764
172110,165369
249943,270600
259331,130389
173098,76655
479,63373
132604,241454
40956,175067
264075,231573
20754,259455
100025,157264
155594,18718
227331,231363
68877,167992
55652,140787
61166,13907
221876,23380
171842,52683
126242,175041
83130,145023
150376,156041
64144,200347
124925,32791
195069,88130
67114,84219
238578,59590
88051,210807
123900,124601
53165,213898
278579,104766
130835,260799
25926,225924
175476,152246
73825,236236
184927,83401
194358,176790
103201,153612
236952,81606
262358,189274
267725,271684
214349,204005
32013,149976
86826,157650
68306,232531
205038,142703
133485,235496
196607,38327
142960,146094
85195,145989
8628,51253
226749,96905
92079,213780
205696,186228
108609,195534
223841,118353
132448,125895
220169,261079
132578,119479
80065,181701
253970,250011
78369,247241
96804,83491
15308,11760
58748,53728
166676,186739
72553,129573
207326,175481
203883,258617
