FromNode,ToNode
142717,146374
43949,139062
260325,89073
162805,65463
215067,222854
29800,102078
92606,145500
160973,22258
134097,34573
12333,139273
153787,176447
265679,276463
62167,84452
164355,95363
171913,267928
61536,72833
130490,205240
150062,93873
100310,107874
73418,134832
166832,106115
240500,195648
50130,134832
227440,19189
120230,145744
78100,266325
186717,189867
189666,169802
194089,184714
189791,178966
196369,167295
169577,172234
230950,245018
221840,5202
247702,152944
200046,245659
120749,222332
185201,98595
46296,208280
260182,235496
176661,152231
14506,128291
69760,38871
93344,85537
127098,76283
39336,18412
68763,59090
16425,241454
83164,152528
254840,251876
66847,102390
103311,199026
108053,225872
92314,55788
164491,208164
235347,227280
103723,113673
145368,183822
80702,84915
244008,95163
27011,231480
205220,191005
207304,120110
22951,50421
167649,141370
121853,23038
143508,105607
200192,259455
12296,51131
223172,151325
142471,47715
127530,120849
33546,189734
219838,234704
194156,168986
71777,81435
32024,132021
131735,30948
120693,115636
113864,278604
244343,96387
256841,10520
191722,264668
44765,134832
36266,63019
68284,176350
135674,177724
233655,152558
6248,86140
233580,96745
45419,38342
58972,39152
38255,245763
250364,8503
108773,114482
133456,259234
197822,176790
49719,106677
234536,259304
51841,248115
240309,89073
77933,4419
225271,62018
166355,162220
232187,226411
281115,252478
101115,226411
13028,15487
67023,158732
82285,87821
226206,160277
45131,119479
278080,109477
153299,228355
196539,186902
172149,69358
104275,130643
226245,49253
146738,265230
163540,226411
97747,103298
167375,106269
4340,6579
162539,258348
151848,208207
52823,179973
171565,155908
272406,272442
239548,242409
52973,88966
213327,183080
251721,48228
183056,201497
188261,258002
153724,174952
166933,161587
179971,199948
27352,77999
152396,35736
44721,185452
146567,48008
139142,136713
257755,69358
18724,241454
208643,197781
99363,87399
87788,95593
247706,68889
79385,57149
41722,33813
218481,129285
150122,134832
181616,39075
77725,158304
71773,82411
246549,267492
199324,245659
12959,186750
45668,24203
57574,60234
64538,53055
152349,223222
154380,267492
46102,176419
67528,82411
273194,194489
109603,84873
119180,92587
261593,176790
64601,216183
83238,76563
275192,234704
172390,55788
142489,29532
171293,81435
302,198090
83030,94257
104938,68821
180635,89073
