FromNode,ToNode
225872,11020
225872,17567
225872,17745
225872,18687
225872,20206
225872,22429
225872,45686
225872,57328
225872,59590
225872,60562
225872,62941
225872,75782
225872,77816
225872,83071
225872,84820
225872,85879
225872,96899
225872,99622
225872,119687
225872,126731
225872,139074
225872,150649
225872,161514
225872,178388
225872,188574
225872,191362
225872,192798
225872,204641
225872,217423
225872,227938
225872,229240
225872,236424
225872,247221
225872,257491
225872,260292
225872,263663
225872,264415
225872,270464
225872,273590
225872,279416
35716,225872
59745,14395
14395,15407
14395,59745
14395,76684
32423,2919
32423,74529
234704,105607
234704,123871
234704,136444
234704,138302
234704,142475
234704,168387
234704,197211
234704,214007
234704,268240
198090,28600
198090,104767
198090,105607
198090,227979
198090,263471
105607,28600
105607,104767
105607,167057
105607,198090
105607,227979
105607,250534
105607,276723
231650,105607
231650,198090
231650,234704
192858,105607
192858,198090
192858,234704
72208,92072
251990,11104
251990,24944
251990,25979
251990,63133
251990,64953
251990,67424
251990,72001
251990,86291
251990,96186
251990,106106
251990,130832
251990,132434
251990,134957
251990,137186
251990,138363
251990,141384
251990,194454
251990,215901
251990,263153
251990,266402
231910,2040
231910,13651
231910,133292
231910,218656
231910,236225
231910,251990
236225,2040
236225,231910
236225,251990
130832,72001
130832,251990
2040,236225
2040,251990
20,175144
175144,20
175144,108
175144,5517
175144,6488
175144,8027
175144,10262
175144,61833
175144,66246
175144,66707
175144,94872
175144,95396
175144,99886
175144,127522
175144,135534
175144,135808
175144,161309
175144,162493
175144,162625
175144,163296
175144,167920
175144,185075
175144,200770
175144,214465
175144,221626
175144,255025
175144,268677
175144,269011
222324,225872
241454,2287
241454,33969
241454,46264
241454,60620
241454,73050
241454,75800
241454,95703
241454,122054
241454,223817
241454,243934
241454,254556
6560,241454
220288,145290
145290,54850
145290,144109
145290,220288
145290,234704
24,208810
24,225872
24,271840
271840,155801
271840,199588
271840,225872
208810,48971
208810,225872
255607,17781
255607,62478
255607,163941
255607,183375
255607,261875
183375,17781
183375,62478
183375,255607
207441,17781
207441,62478
207441,255607
62478,17781
38134,17781
38134,62478
17781,62478
17781,234054
281568,92641
281568,141370
281568,243180
243180,92641
243180,141370
243180,281568
141370,92641
141370,243180
141370,259466
141370,281568
92641,141370
92641,197175
92641,243180
92641,281568
33,237617
33,244236
237617,33
237617,244236
244236,33
244236,178151
244236,201792
244236,227845
244236,237617
244236,239800
244236,260753
37,166637
37,234704
39,15380
15380,39
40,6509
6509,40
42,166939
166939,42
166939,14747
166939,15416
166939,17275
166939,99353
166939,108503
166939,145702
166939,197888
166939,199545
166939,212969
166939,259532
166939,269672
166939,275563
166939,278443
161514,17567
161514,45686
161514,48034
161514,59590
161514,119687
161514,130643
161514,217423
161514,225872
59590,10229
59590,17567
59590,48034
59590,69964
59590,86507
59590,89902
59590,124126
59590,130643
59590,161514
59590,215423
59590,225872
17567,45686
17567,59590
17567,86507
17567,119687
17567,161514
17567,217423
44,241454
48,6501
48,59701
59701,48
6501,48
201678,105607
201678,198090
201678,234704
165048,105607
165048,198090
165048,234704
115715,105607
115715,198090
115715,234704
83582,105607
83582,198090
83582,201678
83582,234704
11399,105607
11399,198090
11399,234704
56,186902
186902,26101
186902,67108
186902,118094
186902,256570
28661,68952
199822,77396
199822,78435
199822,137189
27940,18945
27940,30002
27940,62720
27940,124342
27940,144826
27940,146879
27940,167376
27940,199822
27940,218432
27940,222218
27940,234833
27940,255179
27940,269746
30002,27940
30002,137189
30002,167376
30002,199822
6527,241454
278409,72001
278409,130832
278409,194454
232037,72001
232037,130832
232037,234704
232037,251990
134083,75952
134083,80020
134083,92121
75952,80020
75952,92121
75952,134083
153074,17781
153074,33653
153074,62478
153074,111245
111245,17781
111245,33653
111245,62478
111245,153074
111245,195704
111245,211334
111245,261727
111245,281187
173129,12516
173129,105607
173129,118567
173129,121154
173129,198090
173129,234704
121154,12516
121154,105607
