FromNode,ToNode
267521,30211
184097,145635
29368,93778
176547,119479
275099,120633
23428,245659
92334,154106
85537,80102
63606,93778
21487,10825
173729,36254
1968,93778
20687,4556
60249,204413
131544,126835
110464,112800
70914,99120
92204,245659
209404,234589
239355,242584
269533,89108
216880,156387
156785,116701
239697,175509
237310,89073
24585,187069
269478,267800
161422,172439
121990,216942
40718,277514
269627,213780
134052,38342
143165,141235
122184,126252
130330,211254
76130,88490
231671,69358
182065,93475
175435,144052
176219,160785
113231,87688
270356,59976
127856,132088
16149,145357
90927,67756
161287,21588
39992,147475
208537,226411
126649,224958
240950,234327
213503,153734
208568,214128
16926,66344
186717,189867
124399,66909
208932,136821
220339,48448
156074,124989
169076,177903
125656,60497
238659,6949
224646,241454
167067,184125
164446,32916
26680,89616
50457,196787
277740,14905
52103,93778
114263,96745
81938,134375
219722,117272
54220,222943
265112,120375
67581,233892
63578,134735
93344,85537
203221,208110
70390,77773
250345,261652
68763,59090
15022,25458
155811,260330
78613,227267
252583,281075
60857,162049
94675,182774
250563,53671
29692,105607
141181,112783
232221,119109
142049,116180
266036,269168
22735,67756
118982,167748
172484,105607
20628,113461
162626,160904
75108,243727
33431,243926
257363,134832
13423,57215
94119,207801
17271,69358
227657,226411
166692,267897
221779,224867
264249,170452
272102,272442
197368,64030
171408,84518
12458,158568
248631,205477
203695,238391
167516,248139
49588,82499
214119,225164
226534,220029
65132,73100
187441,186750
245421,214128
146639,245574
12572,226191
26071,92641
227027,143959
196162,241454
136304,262860
210851,116869
11587,125007
56758,68889
11657,95163
199733,244448
7669,252192
68308,61816
58225,39101
98863,118110
253701,34573
74254,176781
223930,226411
170890,264756
49845,272816
251375,244882
63153,25943
269139,266103
97252,214467
150414,197376
235669,93778
80324,236129
128497,135087
109529,145405
167335,56707
198876,195199
123038,154785
264677,218313
27603,17574
221600,26744
159541,237186
61992,51626
37772,48595
175003,201011
108442,170281
254411,249563
55763,61057
229411,27940
181741,82411
100178,161847
232966,191726
201162,133797
268887,147621
22647,162672
199249,132284
108862,69358
246686,61507
97977,208172
178854,186750
83006,177974
167053,226290
220310,280902
9603,33392
163961,94261
19901,55460
153153,186750
1966,150525
126932,134832
131735,30948
30587,117152
17877,33369
113864,278604
207750,187243
218547,214801
50224,237719
99155,96837
246459,134832
25392,130811
142418,167539
46974,234704
267210,116180
158059,60210
222698,160831
23446,162292
175345,13522
56416,259343
225561,144594
147074,17781
90574,101784
83346,1796
220575,237238
173536,141232
87787,95572
117324,86910
161719,166842
115253,226411
252760,258348
209979,205765
104256,115395
63359,202741
182676,251876
33195,156908
35693,166976
280063,204906
218660,155069
225062,40492
25915,1723
80348,141323
228299,229512
175591,189851
279376,231363
205185,89073
126198,133797
238626,239306
173213,72875
53563,58919
223047,134832
90116,93174
230585,203188
191418,112938
92486,245659
180417,37578
130058,123926
29265,210382
273146,50476
249173,223725
183462,98387
262989,176790
74947,27904
20184,180806
16426,85094
115974,140010
116797,68587
238575,46539
181556,76998
15416,263500
44221,270339
238836,236626
231665,195534
191199,137632
211128,75124
181845,241454
224235,31120
79267,123576
82847,272765
50109,105607
207329,200255
132178,65208
164163,186558
94302,177014
226004,9163
274944,208209
170139,105607
80620,92644
142247,225872
6722,55788
212586,34813
64006,241454
93873,64933
226972,89073
155436,204961
9450,89073
102974,21859
94528,122150
215653,222319
87673,95163
152597,167295
21488,113236
224335,209124
123089,261584
199556,192929
237488,154706
232025,113180
66346,266335
155946,6056
245937,105607
103562,105607
49808,24382
142787,262263
157511,97165
215750,226411
231787,86143
31754,269842
164565,159557
26611,65463
146979,250404
120927,137578
215040,108822
256084,65463
38841,226411
42232,89073
13893,10193
136541,143338
21629,188938
265182,226411
93040,90222
226796,214024
29784,186750
145374,148129
115497,207374
113352,226411
7406,194930
175573,77215
100359,134832
44721,185452
177961,203768
58736,109267
39651,42107
162663,31119
233423,97954
215863,128893
272657,192479
94077,89228
26485,88740
68041,164734
21343,239831
44288,176639
68275,61110
3257,14210
173810,15647
50318,39433
9212,73530
12114,78379
236456,591
202185,203770
267021,38198
280354,276637
75336,72536
68357,145316
126623,137543
159569,120810
4093,247241
239550,213353
152464,207294
53324,53433
181522,245659
179897,13836
62729,16310
41281,145426
270808,160078
223016,173715
173692,260207
144512,96739
179755,206739
28787,163646
89610,76809
270105,263100
40448,119479
251175,90048
191628,62478
159083,95363
212997,139669
56827,226411
161593,243189
52436,46767
127906,111899
252351,874
183277,161377
218747,225396
44555,226411
34839,167295
127533,242553
273098,263789
193063,187803
65568,68973
11252,226411
101603,26536
65167,100939
132733,243180
53449,119307
101810,137085
13805,234769
241473,34565
265102,270121
169646,276553
250970,167251
95935,25471
211877,42652
34063,132943
135038,81435
225286,42761
270601,264654
123471,13624
251515,234677
73152,79129
142314,234704
97398,10801
220545,241454
191329,93778
241075,245240
256217,223226
235708,82868
12297,89073
189795,268806
231067,247241
237228,159427
126013,136998
188322,128720
228583,14516
4642,38342
140549,234704
100871,55788
230880,98035
139187,76241
179755,68544
63371,119479
170949,200687
241945,241454
145680,280437
241198,69358
139192,43670
162112,180771
16448,191464
193664,252445
36009,110392
74272,176983
41585,156562
148415,226411
238162,44493
222130,139062
178802,17561
226163,59024
87320,41222
136591,139232
216294,6389
196533,231363
136154,90896
182458,134832
71890,27115
56732,41555
51506,230049
66175,67078
19852,259343
168075,120849
16387,35084
225531,69358
237254,20765
149654,214712
67826,241454
164250,132284
34194,75889
94097,203842
155895,248910
69490,191302
60623,123922
91899,183080
145985,114398
155907,238693
108026,41042
58848,177339
186702,134832
130348,128443
21919,33134
263204,62916
148792,56389
114602,107212
106749,226411
202550,28467
96217,241965
84664,186905
187294,159985
15728,257302
192326,151981
275857,65463
163243,136821
198638,36340
6031,195091
135849,109459
30603,44558
14834,251796
21914,245647
84835,3407
271328,240128
229444,227273
38506,247940
164115,225872
168614,75882
188037,246356
184812,178801
190883,79260
257614,137632
270100,250483
75009,248330
118341,209238
237349,248156
227985,172872
94561,212707
254533,184554
250064,259455
270171,250542
169658,167489
118058,268240
22715,154706
240200,246144
224971,97014
228817,151939
153215,156013
237522,166057
183134,186750
278160,267257
179736,50785
276818,275947
63272,272442
183779,69358
55914,60873
194139,101312
254876,205208
78412,17781
225901,220641
102883,212707
213790,150165
200228,248914
200630,67756
194827,149161
140060,129097
248299,146751
5859,116107
167141,190119
192688,184125
235607,275875
200285,251916
58295,136821
264896,38342
31352,1081
78649,105607
275920,2260
258134,144934
106870,136673
66593,35915
161336,172427
153594,160399
277689,242219
233835,73625
35261,127934
308,113154
184384,58311
159808,58764
167928,259960
23737,241454
180318,215184
188132,181625
255518,76240
30933,38342
110022,98776
20299,31448
220137,119646
216554,69731
122142,134375
275969,269473
78368,181116
103363,75736
83964,93778
237150,145505
65558,150914
49386,69713
253704,67457
48338,13860
106166,221742
155125,167295
273997,191378
111890,118460
243925,232849
144152,167295
272261,26659
161932,7074
245506,221958
5492,84428
81707,83947
89875,79143
8280,95163
233220,130609
74917,14125
202524,198019
28447,134832
195483,240752
125149,67756
125236,74204
10715,8459
27435,81435
168636,218170
27365,8764
54292,49873
227867,203904
178787,206563
111770,273537
133202,40716
134483,105607
257142,32666
273955,140852
196926,267976
149060,134832
26732,203602
151680,154827
123244,93778
