FromNode,ToNode
1,6548
1,15409
15409,13102
270771,3163
270771,82011
222332,3163
222332,82011
222332,270771
12,136821
136821,201898
136821,216344
136821,273978
226411,32833
226411,99759
234704,168387
234704,214007
234704,226411
234704,248147
34573,221045
61790,1145
61790,19955
61790,25301
61790,32252
61790,50523
61790,58635
61790,80205
61790,122067
61790,260744
61790,281741
19955,61790
25301,19955
25301,61790
280828,34573
280828,226411
280828,234704
200870,34573
200870,150611
200870,226411
200870,234704
150611,34573
150611,200870
150611,226411
150611,234704
37606,29529
37606,88464
259455,77999
259455,120708
259455,137632
259455,176790
259455,247956
207441,77999
207441,120708
207441,137632
207441,176790
207441,259455
176790,77999
176790,120708
176790,137632
176790,247956
176790,259455
120708,77999
120708,137632
120708,176790
120708,247956
120708,259455
137632,77999
137632,120708
137632,176790
137632,247956
137632,259455
75454,77999
75454,120708
75454,137632
75454,176790
75454,255543
75454,259455
77999,120708
77999,137632
77999,176790
77999,247956
77999,259455
26,84428
26,281568
281568,84428
84428,21519
84428,173057
84428,226411
84428,262838
27,6556
27,31091
6556,27
6556,15400
31091,27
15404,13076
36,95363
49102,59590
49102,61008
49102,93987
49102,161246
49102,190361
49102,243139
49102,251645
59590,6498
59590,49102
59590,60990
59590,69964
59590,106579
59590,108157
59590,124755
59590,179544
59590,230012
59590,240424
59590,280696
44,55788
44,264455
264455,22738
264455,120395
264455,149909
264455,200438
264455,218111
189445,131387
189445,201653
201653,131387
131387,201653
222148,34573
222148,140438
222148,201678
222148,226411
222148,234704
201678,34573
201678,226411
201678,234704
202260,34573
202260,226411
202260,234704
140438,34573
140438,201678
140438,222148
140438,226411
140438,234704
73093,34573
73093,226411
73093,234704
205477,19189
19189,205477
259343,164873
164873,259343
46787,164873
46787,259343
68,5562
68,11481
68,29115
68,50528
68,67378
68,145500
68,161093
68,164701
68,217545
217545,226411
161093,83598
161093,158411
161093,226411
164701,5562
164701,29115
164701,50528
164701,57436
164701,69256
164701,72001
164701,135303
164701,226411
164701,249646
145500,34609
145500,72001
145500,181152
145500,193990
145500,220145
145500,226411
67378,183810
67378,226411
67378,229862
50528,5562
50528,29115
50528,72001
50528,226411
11481,72001
11481,226411
5562,29115
5562,72001
5562,164701
5562,226411
29115,5562
29115,72001
29115,226411
111245,17490
111245,49068
111245,51255
111245,77999
111245,120708
111245,137632
111245,174845
111245,176790
111245,259455
111245,261727
49068,17490
49068,51255
49068,77999
49068,111245
49068,120708
49068,137632
49068,176790
49068,259455
17490,49068
17490,77999
17490,111245
17490,120708
17490,137632
17490,176790
17490,259455
17490,263714
17490,279258
264548,36803
264548,65437
264548,109812
264548,152233
264548,172865
264548,184618
264548,188509
264548,195165
264548,206411
266634,34573
266634,226411
266634,234704
115382,34573
115382,226411
115382,234704
74,15364
15364,74
77,114813
77,164329
164329,77
164329,114813
114813,5299
114813,33596
114813,101053
114813,136457
114813,153665
114813,209139
114813,227087
44601,16779
152204,173040
208086,113115
208086,151810
208086,275265
203322,20961
203322,40196
203322,62983
203322,84512
203322,96567
203322,132340
203322,216701
203322,258920
203322,260946
96567,203322
216433,7547
216433,34035
216433,67533
216433,81514
216433,118247
216433,133576
216433,178765
216433,204562
216433,226411
216433,247189
216433,281326
204562,226411
175106,204562
175106,216433
175106,226411
69256,145462
69256,183947
69256,226411
69256,273424
69256,279419
255054,6802
255054,197993
184900,38421
184900,138628
184900,226411
184900,234319
99,6471
6471,99
6471,30986
101,77999
101,120708
101,137632
101,176790
101,259455
162822,34573
162822,51917
162822,91981
162822,136354
162822,162124
162822,226411
162822,232056
162822,234704
162822,237435
139343,34573
139343,113528
139343,121557
139343,224079
139343,225376
139343,226411
139343,234704
17217,34573
17217,51917
17217,91981
17217,136354
17217,162124
17217,226411
17217,232056
17217,234704
17217,237435
138907,29274
29274,50926
29274,145047
29274,199095
29274,259839
253570,226411
209574,2073
209574,76646
209574,112061
209574,226411
209574,253570
112061,76646
