FromNode,ToNode
43949,139062
38255,227318
107668,116588
201640,142125
137657,168703
274732,67756
27576,161093
186307,54347
276890,249090
29800,102078
145788,184820
155857,141251
143932,52910
195151,234949
28140,18665
119925,96877
106178,83473
267344,221675
8651,47178
134925,71758
213503,97668
11464,45867
26231,48854
213738,179480
264863,8429
74577,153612
64807,210026
164332,79005
268852,25967
145457,188593
121634,213969
185627,147095
180771,111074
100310,107874
178672,186736
93015,186750
232264,277655
178012,234704
75469,118137
132013,280367
17574,2954
89396,205440
170954,174613
179283,281794
26255,19357
56813,273470
22555,2825
132843,227891
111098,236876
158868,70476
270771,215344
80683,268415
167032,78459
16926,66344
192101,241454
237247,167990
70235,226411
198131,7203
240006,76977
59402,93213
152369,241454
231266,53540
190051,54158
198115,186309
135801,3607
141370,116180
244325,223782
214442,50982
85933,203322
146238,32104
222381,76827
165537,181701
106829,121884
185201,98595
261956,221388
180882,174300
35602,41820
209780,1103
84382,5394
248758,244031
11599,237295
171828,38705
139650,191642
39866,60210
122003,232415
30411,103998
171435,186472
223888,265160
219748,239652
216635,225964
144555,151011
126885,226290
91146,8373
53273,55214
197805,267806
19442,25908
69394,61793
253739,269670
176528,209222
264954,2808
100300,114292
178375,167471
55847,147937
277244,184362
27743,197455
193453,145296
143204,241454
140946,134973
201128,204711
209222,186572
58032,138227
139708,117572
243704,223986
158247,245659
89073,255083
188195,19570
171586,229261
81271,84378
169401,77999
80702,84915
828,95163
106469,3164
188083,153236
80100,89953
16173,126037
151647,38342
5085,261084
70026,40260
60306,188482
250496,61811
184118,218170
248121,73555
64918,102181
215912,188531
155972,208086
200192,259455
224501,44843
148122,12678
206727,23991
92964,75947
137392,162438
123597,99276
30822,167179
65051,259439
82802,37285
71101,74623
15107,177259
145481,160732
69511,213170
105403,20519
53671,195167
87382,83464
160399,221385
266786,11746
120297,44325
56919,245659
113646,6914
119213,112639
274151,101175
255669,111252
125029,259455
218193,119334
60219,56539
70460,236747
71015,187041
246686,61507
141054,34915
11789,76217
214909,51518
256460,58221
183963,116934
86737,270339
22538,218466
91528,2404
235588,226364
272058,191585
28007,260929
36935,227047
42761,247959
245715,32588
203322,40196
241372,261440
42597,39158
86387,83703
83790,165428
108160,142952
61931,166057
55970,245729
243222,238685
207831,262860
77999,192719
35693,166976
258633,225575
213717,69358
48241,244997
84378,79020
13466,110939
32492,56813
37969,155581
59341,145166
140741,173650
251378,141799
264870,49332
51841,248115
22435,271315
88176,166585
28648,1553
199058,267317
7305,9427
143674,46899
84655,140655
20468,247675
104852,110102
193702,143560
212724,104566
93659,241454
246163,142119
7136,108045
234610,173796
144471,141879
85131,215523
164657,220769
59155,208086
249996,225872
9295,229156
215162,249968
33037,81204
69314,65230
171532,174665
240018,89076
273049,134832
25305,27473
226206,160277
22764,217850
229943,75094
93567,151472
177112,192270
117161,210847
100325,14344
108808,79236
146255,150705
126961,159503
31272,248835
258853,37481
168718,25125
201017,259455
164661,274523
175237,190636
83872,163800
242491,140
250031,253951
127751,199846
173143,76649
242848,253958
59585,134012
264820,235496
77706,111200
129811,124138
42513,262477
230279,188136
124470,43075
5877,145209
137082,101976
97451,110762
220374,182647
176288,160885
171565,155908
122900,117940
157511,97165
165998,178023
103998,40541
18399,224442
270982,268547
19363,83240
279397,18036
169006,90138
183899,102858
165523,142105
210983,75326
168337,62478
105551,173007
79767,49817
243502,42602
165050,241454
55934,237570
39980,68204
146379,142710
117746,234704
47532,70143
149230,236666
62324,93224
68218,61936
35005,252186
209363,206398
226580,143088
270017,231903
22741,82675
115497,207374
256630,77400
187456,131001
125846,103820
223222,209489
118244,145892
244445,241951
136533,271709
69678,135236
9701,29735
221876,72157
172312,217967
266184,27955
91251,211769
276420,55788
91081,227979
10542,17781
71401,89777
191679,141655
235687,218576
