FromNode,ToNode
67516,174533
209977,16010
173908,214520
170907,61682
281577,107683
108544,134630
125494,167367
222824,180050
241816,262583
200561,184727
28140,184125
92250,234704
186893,32425
217025,223638
120783,132695
201748,259455
202253,203322
183768,82382
61419,100833
205048,140237
130854,133878
173615,236563
226047,159904
256831,239306
24762,113888
100791,136459
14488,167397
273544,163967
112393,167159
14824,116967
69233,33178
22555,2825
259767,114073
136658,90647
133378,116041
188015,88921
126631,137548
179756,142284
136919,134516
186018,50528
46878,131985
236563,73100
279649,22283
206862,14344
190051,54158
261990,236457
271562,167397
209328,4485
177288,84268
228642,107327
94529,3076
182207,224945
180882,174300
123023,30023
272588,252445
96932,203042
128738,63698
171435,186472
9812,44806
69394,61793
224246,2260
5509,120708
71743,81661
264680,144557
266428,218315
95705,13688
136528,57704
187522,250238
106109,213780
135175,218642
137189,199822
27289,219770
153210,192593
179037,192120
171448,158465
238443,175565
103935,16316
101365,102414
52637,170578
3442,194489
101748,235874
59374,270066
69613,33178
190062,194930
251880,243508
136756,250976
232918,203986
105655,55642
160356,17845
106469,3164
46361,53347
251638,48547
113033,167867
89546,255055
270651,214279
108881,66296
224501,44843
20136,234704
129938,226411
186664,135897
198054,169703
13238,148689
108442,170281
9028,26829
155067,112892
22900,199822
248078,240796
255669,111252
183722,105607
55410,162373
191784,113162
27101,64172
83603,29325
42391,107430
203200,170755
170602,14332
144512,257442
53029,277098
207840,41177
217122,273653
171287,184125
70022,92063
42761,247959
6271,116470
231624,248914
103992,30572
90777,275445
51897,140181
150257,247056
127846,184050
199078,142472
31495,25793
164130,160831
188620,169971
81661,226411
223299,234629
197073,102034
84701,66694
201911,120708
264830,54106
112972,89127
51841,248115
235740,167278
185941,120560
139930,184266
28648,1553
175405,173523
192404,260815
230585,203188
247675,132284
18671,77999
20468,247675
231817,105607
115072,203904
177900,75169
161985,162096
61419,245865
248296,140808
101115,226411
1103,178759
165033,1681
177349,255330
46437,177059
97739,264519
71932,160900
167222,98519
164012,173147
111784,95457
171674,163168
229943,75094
122409,226411
117161,210847
197929,267218
173813,60678
249863,63549
209977,225283
236851,66510
258094,212461
247644,30100
77088,109477
5806,98493
122547,124245
238009,54475
187338,26916
272775,66694
55101,89856
145726,69244
7853,248681
47149,193429
88552,101146
165668,201348
178379,18979
149230,236666
122472,155282
93774,141577
83201,154452
270017,231903
175173,60362
217029,27088
265738,235121
125846,103820
9701,29735
186096,219773
91081,227979
142952,38258
10542,17781
189851,96745
83401,33228
225956,119197
48867,97071
52267,1738
211862,64593
253642,87110
33596,211747
192891,202790
88838,107683
161859,65683
256040,196028
147885,49889
134571,132363
76014,82341
52680,265387
208582,115359
224246,205477
192510,22794
232139,166932
261236,78099
210382,118094
178302,15411
93409,50525
236823,75076
263598,8625
42507,52250
132088,56738
84205,111656
262260,8198
103695,128100
193687,196527
148849,234380
98646,240234
248560,98552
214008,92746
255078,34573
165060,52906
278429,268445
130861,114968
95614,232195
111740,110583
122598,244031
187678,114813
32916,278080
13809,227167
213291,134682
194518,226411
186131,226411
85576,38799
81318,218117
131677,67473
88970,172965
179066,65463
120882,246968
158066,99960
261049,254675
133658,101027
103517,164095
269971,117669
47084,45157
50753,88713
204473,32916
212689,39927
190267,161890
11680,191784
247502,193448
113693,196422
207937,216696
42761,121743
236811,20424
117573,158187
258652,144028
232171,185718
86057,204791
209769,82871
211242,48533
281141,24511
246538,245659
257435,170281
63901,228421
135823,207610
98387,210034
171111,253173
90318,172965
66510,203826
177318,9549
109575,38449
57765,96567
33269,126969
236357,115205
156669,129341
265591,262175
12523,34751
101146,225245
8019,172708
24269,274885
126057,54505
57552,65463
160937,226411
54728,80103
97784,276374
94140,270911
183144,236824
159128,229938
61381,227979
167759,258143
138757,193487
187554,26659
238033,64101
236264,265910
15413,164349
256903,88679
220436,245659
214931,100735
68741,247241
267105,176790
88490,29419
257879,200561
114073,1554
243805,131081
27571,32122
3555,18549
55101,233996
250179,68006
149132,75798
76701,169810
19276,187456
36149,249270
69098,92583
256229,280913
87834,63254
257429,138935
262707,65211
109064,92746
260652,117789
163165,129849
163036,205223
160461,24278
228554,216677
115528,8566
262425,43653
39661,31407
148613,229938
97837,43397
242629,272664
257795,3031
134821,87884
95781,151707
227738,84941
255504,217752
216390,70533
137472,176855
128551,214697
160191,231265
137583,168305
25156,195401
257442,131551
194989,146471
175317,93227
87834,63946
238830,243092
197823,6229
158177,5886
156271,120154
269303,107172
236016,152010
124726,242232
29489,216512
107078,259455
13608,261471
203200,273799
173098,76655
216206,49068
70768,245659
20754,259455
52892,137434
260927,187498
275948,109064
131419,79159
97739,235274
220623,137837
100025,157264
55092,124739
69651,165699
192657,132695
88051,210807
109309,200698
40351,162719
56626,110893
175476,152246
94956,23360
156987,176952
18609,216225
255078,37941
223235,262504
225342,240048
92964,277080
259054,269635
131807,127551
7231,177249
218529,48533
156271,271224
28600,18546
191122,56738
98766,81060
96804,76207
201769,82056
226749,96905
24424,105962
24726,129971
147885,44508
73695,194989
96804,83491
58748,53728
193405,12270
155282,122472
212637,247599
91528,109477
83731,121643
116636,133254
220436,234704
143766,272889
57936,105573
235570,90543
92545,214128
77880,234704
36149,125239
168365,12229
92221,114719
137529,227270
2379,190364
41960,221087
160322,167062
126971,226411
35,149254
207234,235746
175094,226411
110111,47063
76014,80930
62301,234704
276629,244718
39948,276751
204530,193593
141579,28886
165814,80103
197932,234090
164896,22942
73778,230465
34607,160917
122397,211669
258944,55634
188556,132088
246973,251990
71743,8524
39191,197588
185211,15782
87304,212945
93498,170578
262504,223235
83428,152019
171334,66694
218520,117671
97535,203951
166416,167106
129404,57704
215275,116014
173523,29162
99976,33178
117977,183004
186454,269632
214700,235874
280511,221963
104498,256611
14571,226751
234001,218081
170907,271398
100411,34129
248124,139329
77545,203563
32848,19189
227263,213642
210357,132284
7008,236305
44235,197760
57350,29655
123469,279368
39699,44215
212675,166298
52963,122801
37270,266430
204791,106905
216055,266335
86188,17351
191786,280686
139258,172830
152220,137189
27397,223305
260249,105808
246841,226411
76541,584
105655,129341
273982,204522
131731,184333
85923,209198
74643,66079
123617,241452
100115,238769
205598,9085
232787,277189
273390,214298
70524,55124
219705,32994
9367,247148
181121,198090
260871,132695
107473,27101
25364,79623
3050,50549
31481,128099
208621,110581
178031,216433
183526,266770
60883,112038
64997,192536
138126,91814
240598,169971
5343,65463
117480,47111
269609,23391
144961,198090
113693,84708
171769,168776
197450,137373
75875,189295
97448,164760
31287,84906
94447,186681
162775,12523
109775,165950
64315,253266
952,234704
246540,155852
109622,242084
272822,261586
154718,109477
78328,52951
136298,5306
80808,197211
226452,153937
52992,112893
200767,153450
148808,98415
1542,77423
245792,64175
47332,180104
107030,125231
122979,60167
151472,194776
136829,268240
52009,36749
259752,95064
251876,216677
221725,185941
276851,227567
270059,216783
81426,84382
153101,30997
77545,210400
169670,225479
185763,235702
73176,183526
202818,91230
140809,42166
147598,262381
136367,129885
52992,205477
96464,14937
241215,128820
73172,51450
137888,88847
173654,260122
280511,234704
276750,151814
82759,247603
148246,235687
128199,120340
81974,46393
19367,271957
270327,234704
247894,192120
186070,280493
96258,214561
125476,181206
185022,205477
149268,224360
38449,93069
120753,34573
133904,61837
8808,87386
140124,264051
